model,n,replications,empirical_mean,limit_mean,empirical_variance,limit_variance,empirical_q50,limit_q50,empirical_q90,limit_q90,empirical_q95,limit_q95,empirical_q99,limit_q99
Model 1,100,5000,8.590432913860736,8.542811296257886,13.11863220350433,11.753288505160702,7.756730908755202,7.77199537930844,13.292731993607358,12.834618310108766,15.581935399287277,15.058966723349231,21.1303016515033,20.519793978077892
Model 2,100,5000,8.66622396817005,8.54182229024509,14.298865228261334,11.824145679692117,7.818641708021888,7.777147695653657,13.368480775106129,12.872391800742568,15.762316780848836,15.17554345689534,21.966591690293374,20.51482297141537
Model 3,100,5000,14.272790982956003,14.252927199431946,47.53241351383918,41.11746237176069,12.745652825474153,12.989850178308874,23.322614363165982,22.737375299445972,27.332995647523394,26.355375658174154,37.18202716052386,34.7723547875785
