model,n,calibration,residual_source,alpha,replications,rejection_rate,mcse,mean_critical_value,median_critical_value,mean_T_late,variance_T_late,mean_T_direct,max_abs_T_difference,median_sqrt_n_residual,late_components
Model 1,100,oracle,known-DGP weights,0.01,5000,0.012,0.0015398701243936126,20.519793978077896,20.519793978077892,8.590432913860736,13.11863220350433,8.590445126288579,9.37281442929816e-05,0.003068340245057932,70
Model 1,100,oracle,known-DGP weights,0.05,5000,0.059,0.0033322364862056236,15.058966723349231,15.058966723349231,8.590432913860736,13.11863220350433,8.590445126288579,9.37281442929816e-05,0.003068340245057932,70
Model 1,100,oracle,known-DGP weights,0.1,5000,0.1118,0.0044564730449089445,12.834618310108766,12.834618310108766,8.590432913860736,13.11863220350433,8.590445126288579,9.37281442929816e-05,0.003068340245057932,70
Model 2,100,oracle,known-DGP weights,0.01,5000,0.0148,0.0017076861538350657,20.51482297141537,20.51482297141537,8.66622396817005,14.298865228261334,8.666235148691772,0.0004024410187302152,0.003119497036362082,70
Model 2,100,oracle,known-DGP weights,0.05,5000,0.0584,0.0033163063790910513,15.17554345689534,15.17554345689534,8.66622396817005,14.298865228261334,8.666235148691772,0.0004024410187302152,0.003119497036362082,70
Model 2,100,oracle,known-DGP weights,0.1,5000,0.1172,0.0045489374583522245,12.872391800742566,12.872391800742568,8.66622396817005,14.298865228261334,8.666235148691772,0.0004024410187302152,0.003119497036362082,70
Model 3,100,oracle,known-DGP weights,0.01,5000,0.0146,0.00169628063715884,34.77235478757849,34.7723547875785,14.272790982956003,47.53241351383918,14.272803387173033,0.000118335524565083,0.0031468237896231785,70
Model 3,100,oracle,known-DGP weights,0.05,5000,0.061,0.003384641783113835,26.35537565817415,26.355375658174154,14.272790982956003,47.53241351383918,14.272803387173033,0.000118335524565083,0.0031468237896231785,70
Model 3,100,oracle,known-DGP weights,0.1,5000,0.1072,0.004375115084200643,22.737375299445972,22.737375299445972,14.272790982956003,47.53241351383918,14.272803387173033,0.000118335524565083,0.0031468237896231785,70
