analysis,variant,variant_role,instrument,repeat,outer_fold,evaluation_index_scope,method,wavelength_nm,linear_weight,functional_beta_common_1_over_650,intercept,training_y_mean,retained_processed_wavelength,training_x_mean_after_fixed_transform,processed_grid_size,status
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,600.0,0.5097302220818796,331.32464435322174,168.01942458929807,193.33653846153845,True,3.2613143205128208,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,602.0,0.49701707295641356,323.0610974216688,168.01942458929807,193.33653846153845,True,3.2595959807692307,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,604.0,0.5015211364542507,325.98873869526295,168.01942458929807,193.33653846153845,True,3.262734519230771,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,606.0,0.4972906039182105,323.23889254683684,168.01942458929807,193.33653846153845,True,3.270883346153848,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,608.0,0.4899035099333406,318.43728145667137,168.01942458929807,193.33653846153845,True,3.2799887435897452,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,610.0,0.48556846355049316,315.61950130782054,168.01942458929807,193.33653846153845,True,3.2894979038461556,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,612.0,0.4867599812718569,316.39398782670696,168.01942458929807,193.33653846153845,True,3.2987248461538456,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,614.0,0.47618361168579343,309.51934759576574,168.01942458929807,193.33653846153845,True,3.3079693012820517,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,616.0,0.48690243397512256,316.48658208382966,168.01942458929807,193.33653846153845,True,3.3145611730769233,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,618.0,0.49747948476540876,323.3616650975157,168.01942458929807,193.33653846153845,True,3.3206551666666653,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,620.0,0.48680790108415906,316.4251357047034,168.01942458929807,193.33653846153845,True,3.324264903846154,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,622.0,0.4742629347046933,308.2709075580506,168.01942458929807,193.33653846153845,True,3.326070641025642,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,624.0,0.453952474561868,295.0691084652142,168.01942458929807,193.33653846153845,True,3.3268278525641017,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,626.0,0.45050798092518957,292.8301876013732,168.01942458929807,193.33653846153845,True,3.324431006410259,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,628.0,0.4610322822941889,299.6709834912228,168.01942458929807,193.33653846153845,True,3.322909769230769,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,630.0,0.4789318534530427,311.30570474447774,168.01942458929807,193.33653846153845,True,3.3212580641025626,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,632.0,0.4728043803990144,307.3228472593594,168.01942458929807,193.33653846153845,True,3.318893384615384,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,634.0,0.47892717854034117,311.30266605122176,168.01942458929807,193.33653846153845,True,3.316010833333334,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,636.0,0.45373311554787094,294.9265251061161,168.01942458929807,193.33653846153845,True,3.3142032243589745,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,638.0,0.44099756180755023,286.64841517490765,168.01942458929807,193.33653846153845,True,3.312030673076922,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,640.0,0.42632754189384237,277.1129022309975,168.01942458929807,193.33653846153845,True,3.3109627948717937,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,642.0,0.4401731588987976,286.11255328421845,168.01942458929807,193.33653846153845,True,3.310520897435897,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,644.0,0.4537037182102432,294.90741683665806,168.01942458929807,193.33653846153845,True,3.309622096153846,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,646.0,0.4315963739566746,280.5376430718385,168.01942458929807,193.33653846153845,True,3.309797743589745,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,648.0,0.42079146959751107,273.5144552383822,168.01942458929807,193.33653846153845,True,3.3101936089743607,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,650.0,0.4138272128720133,268.98768836680864,168.01942458929807,193.33653846153845,True,3.3112347948717957,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,652.0,0.41235288957059274,268.0293782208853,168.01942458929807,193.33653846153845,True,3.3130424038461546,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,654.0,0.41522912746713597,269.89893285363837,168.01942458929807,193.33653846153845,True,3.3145337564102566,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,656.0,0.40484231240564694,263.1475030636705,168.01942458929807,193.33653846153845,True,3.3180277564102565,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,658.0,0.39852605460627466,259.04193549407853,168.01942458929807,193.33653846153845,True,3.322088666666667,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,660.0,0.3871371735182801,251.63916278688205,168.01942458929807,193.33653846153845,True,3.3264408653846145,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,662.0,0.3796316349754196,246.76056273402273,168.01942458929807,193.33653846153845,True,3.3322246474358965,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,664.0,0.36694716358922774,238.51565633299802,168.01942458929807,193.33653846153845,True,3.3387248461538466,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,666.0,0.35733295612581545,232.26642148178004,168.01942458929807,193.33653846153845,True,3.34526976923077,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,668.0,0.34866533667974375,226.63246884183343,168.01942458929807,193.33653846153845,True,3.3540877564102582,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,670.0,0.35128582344147313,228.33578523695755,168.01942458929807,193.33653846153845,True,3.3640880128205115,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,672.0,0.3465088092262797,225.2307259970818,168.01942458929807,193.33653846153845,True,3.3751239807692306,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,674.0,0.3302779654029959,214.68067751194735,168.01942458929807,193.33653846153845,True,3.3869836666666675,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,676.0,0.30566062808756334,198.67940825691616,168.01942458929807,193.33653846153845,True,3.3998883525641044,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,678.0,0.27316765549119076,177.558976069274,168.01942458929807,193.33653846153845,True,3.4132557243589736,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,680.0,0.27186386159698084,176.71151003803755,168.01942458929807,193.33653846153845,True,3.4257518205128203,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,682.0,0.26874463847575947,174.68401500924367,168.01942458929807,193.33653846153845,True,3.4383713846153854,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,684.0,0.2430562561757081,157.98656651421027,168.01942458929807,193.33653846153845,True,3.4520231089743563,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,686.0,0.22987655420276182,149.41976023179518,168.01942458929807,193.33653846153845,True,3.4673208653846155,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,688.0,0.23491491389828223,152.69469403388345,168.01942458929807,193.33653846153845,True,3.4836611089743608,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,690.0,0.21867053800581945,142.13584970378264,168.01942458929807,193.33653846153845,True,3.5028584358974366,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,692.0,0.20091674449164437,130.59588391956885,168.01942458929807,193.33653846153845,True,3.524122762820512,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,694.0,0.20154699316596783,131.0055455578791,168.01942458929807,193.33653846153845,True,3.54755307051282,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,696.0,0.18699981345442762,121.54987874537795,168.01942458929807,193.33653846153845,True,3.5736399935897443,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,698.0,0.17979242672756532,116.86507737291745,168.01942458929807,193.33653846153845,True,3.5998565833333327,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,700.0,0.16783796128883474,109.09467483774259,168.01942458929807,193.33653846153845,True,3.6241291666666666,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,702.0,0.16800387933180755,109.2025215656749,168.01942458929807,193.33653846153845,True,3.645498416666667,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,704.0,0.18160299996030385,118.04194997419751,168.01942458929807,193.33653846153845,True,3.6627519423076924,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,706.0,0.1714733961713523,111.45770751137898,168.01942458929807,193.33653846153845,True,3.676847076923077,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,708.0,0.1386076728030078,90.09498732195506,168.01942458929807,193.33653846153845,True,3.688392692307691,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,710.0,0.11207304443949205,72.84747888566983,168.01942458929807,193.33653846153845,True,3.696235102564103,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,712.0,0.07289271019489307,47.3802616266805,168.01942458929807,193.33653846153845,True,3.700442115384615,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,714.0,0.06326962026035331,41.12525316922965,168.01942458929807,193.33653846153845,True,3.701310371794872,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,716.0,0.08401035320828247,54.606729585383604,168.01942458929807,193.33653846153845,True,3.6996772243589726,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,718.0,0.05964567809662109,38.769690762803705,168.01942458929807,193.33653846153845,True,3.694096967948718,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,720.0,0.025245267406860727,16.409423814459473,168.01942458929807,193.33653846153845,True,3.6877609230769237,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,722.0,0.012378262224470995,8.045870445906147,168.01942458929807,193.33653846153845,True,3.6795793974358992,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,724.0,-0.002875315003916206,-1.868954752545534,168.01942458929807,193.33653846153845,True,3.668666641025642,650,ok
