analysis,variant,variant_role,instrument,repeat,outer_fold,evaluation_index_scope,method,fit_status,evaluation_status,evaluation_prediction_finite,selected_components,rmse,mae,bias,r2
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,4,development_combined,Arnoldi FPLS,ok,ok,True,6,5.536086546166423,3.9282914742884683,0.22031318520483048,0.9210502136037432
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,4,development_combined,FPCR,ok,ok,True,21,5.832929146868202,4.29984377560074,0.16308687459165327,0.9123567205503287
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,5,development_combined,CG-FPLS-code,ok,ok,True,3,4.98418835987564,3.5753781601292562,1.0995652591244731,0.9350225392504345
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,5,development_combined,Raw FPLS,ok,ok,True,44,4.7918117797559185,3.4733068620811456,1.1044001764056912,0.9399416572610478
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,5,development_combined,Arnoldi FPLS,ok,ok,True,5,4.790621899408465,3.472241919058985,1.1058849869274245,0.9399714803728162
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,5,development_combined,FPCR,ok,ok,True,52,5.608975048262384,4.354160641395012,0.2634261577669489,0.9177111754981403
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,1,development_combined,CG-FPLS-code,ok,ok,True,3,6.215123461935854,4.898868672523447,0.7022736843025191,0.8968534108648183
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,1,development_combined,Raw FPLS,ok,ok,True,62,5.354772207523239,4.257887661886065,0.1767159347041153,0.9234337544104276
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,1,development_combined,Arnoldi FPLS,ok,ok,True,5,4.085455632172185,3.200456548482497,0.8797961437970448,0.9554306451440011
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,1,development_combined,FPCR,ok,ok,True,10,4.262556448145766,3.3449997471262063,0.6902136253684614,0.951482810245746
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,2,development_combined,CG-FPLS-code,ok,ok,True,3,6.262965425724077,4.675266431807126,-0.16749378387104505,0.8997402667863917
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,2,development_combined,Raw FPLS,ok,ok,True,52,8.631465023535934,6.369182750897474,-1.7625118608189776,0.8095699215773453
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,2,development_combined,Arnoldi FPLS,ok,ok,True,6,5.7022207236115845,3.7709393749406863,-0.5828759368227583,0.9168897546366641
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,2,development_combined,FPCR,ok,ok,True,55,5.9115795063224725,3.7895851518066332,-1.2716973733703691,0.9106748845874547
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,3,development_combined,CG-FPLS-code,ok,ok,True,3,6.179149688939517,4.814425162304673,0.5654679710337529,0.9017230071334504
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,3,development_combined,Raw FPLS,ok,ok,True,64,5.102582158267096,3.6387620848667734,-0.8945087447177531,0.9329846269603284
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,3,development_combined,Arnoldi FPLS,ok,ok,True,5,4.988263748087473,3.529575885826206,-0.7596407401301352,0.9359538182475958
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,3,development_combined,FPCR,ok,ok,True,35,5.643786434602381,3.874082977009873,-0.8797912024880733,0.9180147793577399
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,4,development_combined,CG-FPLS-code,ok,ok,True,3,4.918119298335883,4.081826308111551,0.5328091649967217,0.9335877153521889
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,4,development_combined,Raw FPLS,ok,ok,True,41,5.3790798742484265,4.302066093609673,-0.4067554873186033,0.9205550513438976
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,4,development_combined,Arnoldi FPLS,ok,ok,True,4,4.6146573628936896,3.6060984465987915,0.6119320962759713,0.9415305211464644
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,4,development_combined,FPCR,ok,ok,True,19,4.314092430624244,3.462745488402679,-0.022671263698075796,0.9488990241399307
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,5,development_combined,CG-FPLS-code,ok,ok,True,3,6.224649960864996,4.468359864834868,-1.684408766901851,0.9025610537387045
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,5,development_combined,Raw FPLS,ok,ok,True,42,4.657239521723752,3.3287864926771316,-0.44531514473314215,0.9454543829804252
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,5,development_combined,Arnoldi FPLS,ok,ok,True,5,4.653833238590416,3.3284021081782975,-0.4350632061518816,0.9455341426185369
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,5,development_combined,FPCR,ok,ok,True,14,5.015366859112809,3.509298908232247,-0.47049052718570766,0.9367430683623105
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,1,development_combined,CG-FPLS-code,ok,ok,True,3,5.608630643823479,4.402532330627042,0.3575199488295642,0.923657389391828
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,1,development_combined,Raw FPLS,ok,ok,True,69,4.34746878487889,3.4173804639533545,0.7150499439800706,0.9541302608071988
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,1,development_combined,Arnoldi FPLS,ok,ok,True,5,4.336740973687073,3.4129491999008033,0.7021268197427876,0.9543563577823835
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,1,development_combined,FPCR,ok,ok,True,7,4.500212622041607,3.4694810661678956,0.6651761912498105,0.9508504673254922
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,CG-FPLS-code,ok,ok,True,3,6.6890553806668,4.863911649692296,-0.8062984851367196,0.8805848007541265
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Raw FPLS,ok,ok,True,34,5.881893826595978,4.127120942107185,-0.7863578717865363,0.9076654183035855
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,ok,ok,True,6,6.3594876837009915,4.384127549555795,-0.8585097103089229,0.8920620201795177
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,ok,ok,True,57,6.410270840972192,4.7049374927356515,-0.3912137738255126,0.8903312778824637
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,3,development_combined,CG-FPLS-code,ok,ok,True,3,5.693791634291855,4.478739465928813,0.3393636734678762,0.9137149629390185
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,3,development_combined,Raw FPLS,ok,ok,True,44,3.398337601922271,2.6412524674856175,0.26510805944344423,0.9692627229383223
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,3,development_combined,Arnoldi FPLS,ok,ok,True,5,3.349612136153605,2.6258980932872644,0.21143367547110523,0.9701378279848942
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,3,development_combined,FPCR,ok,ok,True,12,3.6579678082357963,2.8645992099297914,0.23598479727972213,0.9643867090037681
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,4,development_combined,CG-FPLS-code,ok,ok,True,3,5.302566502787434,4.163655522484157,0.2768451027202657,0.9257606795293317
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,4,development_combined,Raw FPLS,ok,ok,True,45,4.867649883801109,3.4623430635789103,0.2082538348502294,0.9374394718751482
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,4,development_combined,Arnoldi FPLS,ok,ok,True,5,4.8383669211392535,3.4793491163317922,0.31192434614666736,0.9381899150164678
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,4,development_combined,FPCR,ok,ok,True,44,6.21157060511944,4.346452433448148,-0.4478481342329205,0.898125710646141
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,5,development_combined,CG-FPLS-code,ok,ok,True,3,5.52671289379996,4.207379339229685,-0.09869636378902467,0.9185809098211717
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,5,development_combined,Raw FPLS,ok,ok,True,37,5.347441089358244,3.895107841959866,-0.41656166778579606,0.9237772778879181
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,5,development_combined,Arnoldi FPLS,ok,ok,True,5,5.370250333003192,3.9025129983824605,-0.440714470726418,0.9231256426367194
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,5,development_combined,FPCR,ok,ok,True,30,5.68067396226486,4.245130296720499,0.24791500927290144,0.9139814406064036
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,1,development_combined,CG-FPLS-code,ok,ok,True,3,5.770145370358172,4.18181935708481,-1.5711296329770437,0.9067052444197997
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,1,development_combined,Raw FPLS,ok,ok,True,65,5.755565832913754,4.016811548413652,-1.5872154663624576,0.9071761081088346
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,1,development_combined,Arnoldi FPLS,ok,ok,True,6,5.962656670882685,3.901860417524912,-1.5976105943726315,0.9003761482763095
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,1,development_combined,FPCR,ok,ok,True,39,6.030060984155872,3.8679304027767,-1.5263024113241035,0.898111039726213
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,2,development_combined,CG-FPLS-code,ok,ok,True,3,6.889689354830647,5.3102223107855675,0.6523374533170111,0.8765829322411334
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,2,development_combined,Raw FPLS,ok,ok,True,14,5.166752709104333,3.636395602173791,0.6267971991689595,0.9305917181012682
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,2,development_combined,Arnoldi FPLS,ok,ok,True,5,5.186174481324272,3.635853288220525,0.581271080631499,0.9300689272744498
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,2,development_combined,FPCR,ok,ok,True,18,5.1006265433698825,3.6861760947390017,0.7865136359626476,0.9323569789445524
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,3,development_combined,CG-FPLS-code,ok,ok,True,3,6.105649621475169,4.609087919557876,1.008957869025004,0.9071108882095913
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,3,development_combined,Raw FPLS,ok,ok,True,70,4.711064156674845,3.685854229885126,1.0717179428467019,0.944698222459095
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,3,development_combined,Arnoldi FPLS,ok,ok,True,5,4.688979886600676,3.6606432014423556,1.0760368806154663,0.945215488528873
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,3,development_combined,FPCR,ok,ok,True,7,4.73383680271288,3.5354491339695495,1.2076067476918557,0.9441622876596838
