analysis,variant,variant_role,instrument,repeat,outer_fold,evaluation_index_scope,method,status,error_type,error_message,selected_components,criterion_name,runtime_seconds,intercept,numerical_positive_rank,eigenvalue_threshold,pilot_components,threshold,threshold_reached,sigma2,moment_residual_m0,effective_dimension,selected_beyond_effective_dimension,selected_at_cap,path_cap,processed_grid_size,shared_fpcr_path_seconds,training_rmse,training_bias,coefficient_norm,coefficient_max_abs,prediction_finite,inner_fold_failures,inner_error_messages,selected_basis_condition,selected_design_condition,instability_flag,inner_effective_dimension_min,inner_effective_dimension_max,rank_breakdown,selected_orthogonality_defect,selected_eigenvalue,selected_spectral_condition
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,4,development_combined,Raw FPLS,ok,,,20,inner_cv_mse,0.28441894899879117,128.84729361371316,,,,,,,,70.0,,False,70,650,,4.314586221815666,6.267351310294217e-14,21598.77646574522,3127.4345437288284,True,0.0,,4503599627370496.0,4503599627370496.0,True,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,4,development_combined,Arnoldi FPLS,ok,,,5,inner_cv_mse,0.3193583900010708,129.494003097281,,,,,,,,70.0,,False,70,650,,4.314290671605294,6.285570354800887e-14,21632.9529974468,3129.5077126884776,True,0.0,,1.0000000000000004,12.990579532422625,False,70.0,70.0,False,2.675645905262587e-16,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,4,development_combined,FPCR,ok,,,56,response_gcv,0.03436549299840408,107.05482760125,155.0,3.3308508810650008e-15,,,,,,,,False,70,650,0.03294545499920787,3.062787791575057,-1.3846473825068619e-14,56929.085493379476,18636.584652397778,True,,,,,,,,,,5.015961892636495e-07,46009.48580328805
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,5,development_combined,CG-FPLS-code,ok,,,3,discrepancy_moment,0.054840783997860854,170.8337998506336,155.0,3.716456077837685e-15,70.0,0.21765803149875043,True,10.538480419348847,1.4698046517001977,70.0,False,False,70,650,0.03516703399873222,6.26094277323735,2.2045043853069776e-14,17410.829720551308,2627.781779085786,True,,,,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,5,development_combined,Raw FPLS,ok,,,4,inner_cv_mse,0.28995149500042317,86.23022202742229,,,,,,,,70.0,,False,70,650,,4.723512581254635,2.7510757205070546e-14,20895.927480323902,2978.424256437691,True,0.0,,12536.180465375965,85370.03891453976,False,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,5,development_combined,Arnoldi FPLS,ok,,,4,inner_cv_mse,0.339872923997973,86.23020940364884,,,,,,,,70.0,,False,70,650,,4.723512581254625,2.842170943040401e-14,20895.927739632898,2978.424268817519,True,0.0,,1.0000000000000004,8.694053229233742,False,70.0,70.0,False,8.808468079697392e-16,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,5,development_combined,FPCR,ok,,,7,response_gcv,0.03663297099774354,108.36595640678256,155.0,3.716456077837685e-15,,,,,,,,False,70,650,0.03516703399873222,4.786539258626635,4.1721611920272546e-14,21025.10460559375,2856.346475029403,True,,,,,,,,,,0.00011001725465662566,234.05321926061268
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,1,development_combined,CG-FPLS-code,ok,,,3,discrepancy_moment,0.052049829999305075,175.015364300277,155.0,3.860958807046208e-15,70.0,0.16834708690193564,True,6.156012978934767,1.469174788736248,70.0,False,False,70,650,0.033974010999372695,6.092277509485332,2.477790052907016e-14,17458.668986920755,2628.335236575462,True,,,,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,1,development_combined,Raw FPLS,ok,,,15,inner_cv_mse,0.29324060900034965,104.3584608920697,,,,,,,,70.0,,False,70,650,,3.934512157846724,5.210646728907401e-14,21707.75386079601,2997.509399533272,True,0.0,,4503599627370496.0,4503599627370496.0,True,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,1,development_combined,Arnoldi FPLS,ok,,,6,inner_cv_mse,0.3360596840029757,88.51882575694759,,,,,,,,70.0,,False,70,650,,3.533976159189985,6.504198888880917e-14,23578.91663104599,3020.5937175594036,True,0.0,,1.0000000000000007,22.741776292823115,False,70.0,70.0,False,1.09746480444394e-15,,
