analysis,variant,variant_role,instrument,repeat,outer_fold,evaluation_index_scope,method,m,criterion,eligible,leading_eigenvalue_curve,pilot_gcv_curve,moment_residual_curve,update_norm_curve,valid_curve,basis_condition_curve,design_condition_curve,krylov_log10_column_norm_curve,orthogonality_defect_curve
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,1,0.48971554024588904,True,0.02569204140144281,0.33643056343128713,0.48971554024588904,1426.0960258392897,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,2,0.28464219665069695,True,0.005541424524781502,0.09848245421194908,0.28464219665069695,2343.182022415265,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,3,0.07197090171365374,True,0.0006475531233798659,0.08520642184535845,0.07197090171365374,16724.99078287554,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,4,0.02532364918231773,True,0.0004049390703491603,0.02233323877233987,0.02532364918231773,3991.1988390729903,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,5,0.01383380962243583,True,0.0002916805706465876,0.0010705413939739667,0.01383380962243583,2330.64406410905,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,6,0.00959217485991778,True,0.00015758530670074153,0.0008820934149803963,0.00959217485991778,3213.2117601809355,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,7,0.0051131220603264855,True,0.00013466814054805882,0.00022848571762229834,0.0051131220603264855,7697.335003038883,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,8,0.0041734539907875,True,0.0001005732250796729,0.0002277379640983257,0.0041734539907875,1930.8255195906129,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,9,0.0038244653351212363,True,8.092709936622938e-05,0.00022731607582815127,0.0038244653351212363,621.607999387687,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,10,0.0026192284412167102,True,6.135940209841569e-05,0.00022244498057712094,0.0026192284412167102,3241.9767536832765,,,,,
