model,controlled_role,basis_size_J,grid_size_T,noise_sd,slope_norm_squared_discrete,integrated_predictor_variance_discrete,signal_variance_discrete,response_variance_discrete,signal_to_noise_ratio,first_five_signal_share,components_for_90pct_signal,components_for_95pct_signal,components_for_99pct_signal,first_slope_coefficient,fifth_slope_coefficient,first_eigenvalue,fifth_eigenvalue
Model 1,Baseline slope and predictor spectrum,100,200,1.0,16.484260455302792,8.588828286548328,32.520045201079235,33.520045201079235,32.520045201079235,0.9998622682409926,1,1,2,4.0000000000000036,0.05186101109416752,2.0,0.3405359690083138
Model 2,Model 1 spectrum; slower-decaying slope coefficients,100,200,1.0,81.43921127930435,8.588828286548328,71.30591266012055,72.30591266012055,71.30591266012055,0.9993747404614814,4,5,5,4.0000000000000036,4.000000000000001,2.0,0.3405359690083138
Model 3,Model 1 slope; inflated first five eigenvalues,100,200,1.0,16.484260455302792,14.311147655050867,33.06122334995404,34.06122334995404,33.06122334995404,0.999864522767923,1,1,2,4.0000000000000036,0.05186101109416752,2.0,2.0
