analysis,variant,variant_role,instrument,repeat,outer_fold,evaluation_index_scope,method,m,criterion,eligible,leading_eigenvalue_curve,pilot_gcv_curve,moment_residual_curve,update_norm_curve,valid_curve,basis_condition_curve,design_condition_curve,krylov_log10_column_norm_curve,orthogonality_defect_curve
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,1,0.489715540245889,True,0.0256920414014428,0.33643056343128724,0.489715540245889,1426.0960258392893,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,2,0.284642196650697,True,0.005541424524781508,0.09848245421194908,0.284642196650697,2343.1820224152666,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,3,0.07197090171365383,True,0.0006475531233798664,0.08520642184535844,0.07197090171365383,16724.99078287554,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,4,0.025323649182317616,True,0.000404939070349161,0.02233323877233988,0.025323649182317616,3991.1988390729907,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,5,0.013833809622435847,True,0.0002916805706465874,0.0010705413939739667,0.013833809622435847,2330.6440641090494,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,6,0.009592174859965514,True,0.00015758530670074148,0.0008820934149803953,0.009592174859965514,3213.211760151216,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,7,0.005113158338667798,True,0.00013466814054805933,0.00022848571762229834,0.005113158338667798,7697.2915948640675,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,8,0.004845646128638821,True,0.0001005732250796732,0.0002277379640983258,0.004845646128638821,586.2721058012439,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,9,0.003824473844764194,True,8.092709936622992e-05,0.00022731607582815038,0.003824473844764194,1966.172409162643,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,10,0.0026192042034180255,True,6.135940209841546e-05,0.0002224449805771199,0.0026192042034180255,3242.057182618122,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,11,0.002242196362891451,True,5.933915667646853e-05,0.00022257970516104513,0.002242196362891451,2081.780523445863,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,12,0.0019612473420593753,True,5.503783073018999e-05,0.00019165440540979482,0.0019612473420593753,1355.4547971374734,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,13,0.0017076042204502945,True,5.129015710292717e-05,0.00018319015822851074,0.0017076042204502945,1840.728306442118,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,14,0.0015105214379855082,True,4.7228573459904016e-05,0.00018228844476472867,0.0015105214379855082,2886.4751160822884,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,15,0.0013769203513076238,True,3.943375546057131e-05,0.0001828008661509553,0.0013769203513076238,2632.888578120995,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,16,0.0013520043949472136,True,3.698730870938335e-05,0.00018306186703239248,0.0013520043949472136,465.44466251175857,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,17,0.001219171240215898,True,3.648860794147283e-05,0.00018108336650308286,0.001219171240215898,3696.451947284621,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,18,0.0010701952395236233,True,3.414722782694466e-05,0.0001808287622872762,0.0010701952395236233,4990.543121623887,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,19,0.0009712953288686752,True,3.20743251183121e-05,0.00017423668447428295,0.0009712953288686752,4242.8563950369835,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,20,0.0009701503815948037,True,3.088164196004936e-05,0.0001706764000734755,0.0009701503815948037,55.97544020322791,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,21,0.0009457767287266609,True,2.9148360655906825e-05,0.00014502937241151238,0.0009457767287266609,1324.1181699537633,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,22,0.0008875424461805274,True,2.768442564109618e-05,0.00011190424004132818,0.0008875424461805274,3140.426357529563,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,23,0.0008807217808935421,True,2.5111935512209075e-05,0.00011223078054405844,0.0008807217808935421,355.59796080390385,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,24,0.000803480465754623,True,2.276223403295718e-05,8.702257087639511e-05,0.000803480465754623,4985.269797994834,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,25,0.0007564845205530644,True,2.1913326426410006e-05,8.578299973152491e-05,0.0007564845205530644,3843.839516320848,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,26,0.0007421138002670981,True,1.9813918172367545e-05,8.38236642216828e-05,0.0007421138002670981,1189.8583527320213,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,27,0.0006969781937458821,True,1.8972238978238498e-05,6.007941819103367e-05,0.0006969781937458821,4514.171010017242,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,28,0.0006445722111199241,True,1.721315658249582e-05,5.618166530368133e-05,0.0006445722111199241,5836.532602191999,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,29,0.000643614647405397,True,1.6343864597084823e-05,4.957228121362628e-05,0.000643614647405397,102.97764787083089,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,30,0.0006413474405238729,True,1.6013908873063287e-05,4.098012221391433e-05,0.0006413474405238729,267.26502548623074,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,31,0.0006339406937181276,True,1.4543623326179713e-05,4.085520838698954e-05,0.0006339406937181276,878.3570164068865,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,32,0.0006044373301766677,True,1.378379657191895e-05,4.071571263979718e-05,0.0006044373301766677,3715.122812123739,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,33,0.0005744090293418907,True,1.2222958682592076e-05,1.6432270794904114e-05,0.0005744090293418907,4404.138982595046,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,34,0.0005409966404298194,True,1.1565307117004757e-05,1.4197921550460555e-05,0.0005409966404298194,5611.080169678319,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,35,0.0005328744203434219,True,1.0987959427582523e-05,1.4008838442751827e-05,0.0005328744203434219,1721.4743153940658,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,36,0.0005168158332129274,True,9.249455817039718e-06,1.1168934684102008e-05,0.0005168158332129274,3328.3177948410025,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,37,0.0005076447045772333,True,9.049097930431211e-06,1.0668758651115152e-05,0.0005076447045772333,2356.845462218513,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,38,0.0004930048770105972,True,8.208622639125881e-06,9.327411720088021e-06,0.0004930048770105972,3723.088382146496,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,39,0.0004927203335387628,True,7.889519140307503e-06,7.756357963250917e-06,0.0004927203335387628,75.66192019775997,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,40,0.00047762478944860074,True,7.227004104072031e-06,7.531785095700856e-06,0.00047762478944860074,4153.541847108652,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,41,0.0004567214114558673,True,6.024474657638094e-06,6.506364921324671e-06,0.0004567214114558673,5721.79890259517,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,42,0.00045667772302916324,True,5.695882736512511e-06,6.177962730059321e-06,0.00045667772302916324,13.507431575472852,,,,,
