analysis,variant,variant_role,instrument,repeat,outer_fold,evaluation_index_scope,method,status,error_type,error_message,selected_components,criterion_name,runtime_seconds,intercept,numerical_positive_rank,eigenvalue_threshold,pilot_components,threshold,threshold_reached,sigma2,moment_residual_m0,effective_dimension,selected_beyond_effective_dimension,selected_at_cap,path_cap,processed_grid_size,shared_fpcr_path_seconds,training_rmse,training_bias,coefficient_norm,coefficient_max_abs,prediction_finite,inner_fold_failures,inner_error_messages,selected_basis_condition,selected_design_condition,instability_flag,inner_effective_dimension_min,inner_effective_dimension_max,rank_breakdown,selected_orthogonality_defect,selected_eigenvalue,selected_spectral_condition
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,ok,,,3,discrepancy_moment,0.05723291705362499,168.01942458930455,155.0,3.708106468755594e-15,70.0,0.18707260626792985,True,7.892601589792204,1.4014566077408845,70.0,False,False,70,650,0.04776825004955754,5.824014292256857,6.66817028944094e-14,18691.808641164313,2737.736819848695,True,,,,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,Raw FPLS,ok,,,35,inner_cv_mse,0.24381883098976687,115.97188498567066,,,,,,,,70.0,,False,70,650,,4.296023452384754,8.981988941787933e-14,22019.840768122453,3054.087660074234,True,0.0,,4503599627370496.0,4503599627370496.0,True,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,Arnoldi FPLS,ok,,,5,inner_cv_mse,0.2648001670022495,112.4939762371767,,,,,,,,70.0,,False,70,650,,4.287000202321838,8.799798496721241e-14,21907.577035840557,3040.3879425228306,True,0.0,,1.0000000000000004,11.688907474638876,False,70.0,70.0,False,2.6838746793965123e-16,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,FPCR,ok,,,33,response_gcv,0.04885533300694078,50.95152318888324,155.0,3.708106468755594e-15,,,,,,,,False,70,650,0.04776825004955754,3.5747527272007327,1.1332245683148265e-13,27261.353270574884,7068.560942723913,True,,,,,,,,,,1.2222958682592076e-05,2101.9494599154114
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,2,development_combined,CG-FPLS-code,ok,,,3,discrepancy_moment,0.038899125007446855,111.73976369862304,155.0,3.4635650924808264e-15,70.0,0.19316585508614958,True,8.985896641306613,1.4363940657559882,70.0,False,False,70,650,0.03006899997126311,5.5464116292567205,1.9494377622136082e-14,19124.716836056814,2950.1061442568025,True,,,,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,2,development_combined,Raw FPLS,ok,,,6,inner_cv_mse,0.23657895904034376,132.23483081028968,,,,,,,,70.0,,False,70,650,,4.453762066479058,1.4393045160268695e-14,21591.76178072017,3153.940874271095,True,0.0,,446225068.895908,6561777000.083494,True,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,2,development_combined,Arnoldi FPLS,ok,,,6,inner_cv_mse,0.25369808392133564,104.83607345351191,,,,,,,,70.0,,False,70,650,,4.126417371816214,2.7146376314937162e-14,22944.597953341145,3213.2848264107224,True,0.0,,1.0000000000000004,18.990838161487254,False,70.0,70.0,False,4.974940067675636e-16,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,2,development_combined,FPCR,ok,,,14,response_gcv,0.030889041954651475,130.92951280773434,155.0,3.4635650924808264e-15,,,,,,,,False,70,650,0.03006899997126311,4.525117654637101,2.3502567413603312e-14,21922.853509727356,2810.3931016246124,True,,,,,,,,,,4.93288607531002e-05,486.48413998273753
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,3,development_combined,CG-FPLS-code,ok,,,3,discrepancy_moment,0.038805624993983656,131.81304402794188,155.0,3.964700068719997e-15,70.0,0.19937537176022413,True,8.429035241739854,1.4993843421233874,70.0,False,False,70,650,0.030218750005587935,4.835778336794834,7.560903470267732e-14,20121.089278732787,2996.7849166550063,True,,,,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,3,development_combined,Raw FPLS,ok,,,64,inner_cv_mse,0.23689796007238328,99.02390738598805,,,,,,,,70.0,,False,70,650,,4.305718192119793,8.289665250534502e-14,21149.004985776628,3012.9677897691727,True,0.0,,4503599627370496.0,4503599627370496.0,True,,,,,,
