analysis,variant,variant_role,instrument,repeat,outer_fold,evaluation_index_scope,method,fit_status,evaluation_status,evaluation_prediction_finite,selected_components,rmse,mae,bias,r2
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,4,development_combined,Arnoldi FPLS,ok,ok,True,6,5.536086546166429,3.9282914742884882,0.22031318520484433,0.9210502136037431
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,4,development_combined,FPCR,ok,ok,True,21,5.832929146868188,4.299843775600748,0.16308687459167295,0.9123567205503291
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,5,development_combined,CG-FPLS-code,ok,ok,True,3,4.984188359875788,3.5753781601293966,1.0995652591245613,0.9350225392504307
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,5,development_combined,Raw FPLS,ok,ok,True,60,4.7725544521331775,3.4650136874241126,1.0839378075943489,0.9404234120704044
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,5,development_combined,Arnoldi FPLS,ok,ok,True,5,4.790621899408466,3.4722419190589826,1.1058849869274208,0.9399714803728162
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,5,development_combined,FPCR,ok,ok,True,52,5.608975048262148,4.354160641394727,0.26342615776674705,0.9177111754981473
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,1,development_combined,CG-FPLS-code,ok,ok,True,3,6.21512346193585,4.89886867252345,0.702273684302522,0.8968534108648184
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,1,development_combined,Raw FPLS,ok,ok,True,26,4.082121417572277,3.2087409644171405,0.9039566056909769,0.9555033631798407
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,1,development_combined,Arnoldi FPLS,ok,ok,True,5,4.08545563217219,3.200456548482498,0.8797961437970455,0.955430645144001
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,1,development_combined,FPCR,ok,ok,True,10,4.262556448145767,3.344999747126211,0.6902136253684608,0.951482810245746
